episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-335719.6854921255,-9.554863544288636,83158817.72052187,2366.7696300239604,-465187.125469234,-13.23961536513075,-16631.763544104375,-0.4733539260047921,18.40277777777778,nan,nan,0.0,35136,31622400
1,-227324.39113747058,-6.469842643939851,88526330.6105348,2519.533544243363,-309509.77611967304,-8.808907562604539,-17705.26612210696,-0.5039067088486726,15.676229508196721,nan,nan,0.0,35136,31622400
2,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
3,-183034.55739193488,-5.209316865662992,79056196.4512752,2250.005591167896,-248377.95049072223,-7.0690445836384965,-15811.239290255038,-0.4500011182335792,13.664048269581055,nan,nan,0.0,35136,31622400
4,-183034.55739193488,-5.209316865662992,79056196.4512752,2250.005591167896,-248377.95049072223,-7.0690445836384965,-15811.239290255038,-0.4500011182335792,13.664048269581055,nan,nan,0.0,35136,31622400
5,-212285.58652332253,-6.041825663801301,86429197.8995174,2459.8473901274306,-288612.38019853167,-8.21415016503107,-17285.839579903477,-0.491969478025486,14.59471766848816,nan,nan,0.0,35136,31622400
6,-203432.88400361617,-5.789870332525505,84662207.23472399,2409.557355268784,-276408.82444292505,-7.866826743024961,-16932.441446944802,-0.48191147105375687,14.426798724954462,nan,nan,0.0,35136,31622400
7,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
8,-182772.49761760674,-5.201858424909117,73429151.97598429,2089.8551905733234,-249491.56164709284,-7.100738890229191,-14685.83039519686,-0.4179710381146647,13.803506375227686,nan,nan,0.0,35136,31622400
9,-182772.49761760674,-5.201858424909117,73429151.97598429,2089.8551905733234,-249491.56164709284,-7.100738890229191,-14685.83039519686,-0.4179710381146647,13.803506375227686,nan,nan,0.0,35136,31622400
10,-202346.43323810803,-5.758949033416099,83605089.54936585,2379.4709001982537,-275184.7836861906,-7.8319895174803795,-16721.01790987317,-0.47589418003965084,14.224726775956285,nan,nan,0.0,35136,31622400
11,-195118.9776655051,-5.553249592028265,87300845.1372065,2484.6552008540098,-264110.46881597285,-7.516805237248772,-17460.1690274413,-0.4969310401708021,13.849043715846996,nan,nan,0.0,35136,31622400
12,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
13,-183251.8483586044,-5.215501148639697,78330907.23646991,2229.3632524040845,-249157.30430575638,-7.091225646224851,-15666.181447293984,-0.4458726504808169,13.069216757741348,nan,nan,0.0,35136,31622400
14,-183251.8483586044,-5.215501148639697,78330907.23646991,2229.3632524040845,-249157.30430575638,-7.091225646224851,-15666.181447293984,-0.4458726504808169,13.069216757741348,nan,nan,0.0,35136,31622400
15,-198409.4096674485,-5.6468980438139935,85544453.657412,2434.666827681352,-269240.86049214704,-7.662820483041526,-17108.890731482395,-0.48693336553627037,14.17634335154827,nan,nan,0.0,35136,31622400
16,-194646.65627653888,-5.539806929546303,84464672.37344173,2403.935347604785,-264106.7044471955,-7.516698100159253,-16892.934474688343,-0.48078706952095696,13.823428961748634,nan,nan,0.0,35136,31622400
17,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
18,-182313.37619511838,-5.188791444533196,77700664.18300743,2211.4260070300384,-247932.08471451286,-7.05635487006241,-15540.132836601486,-0.4422852014060077,13.331056466302368,nan,nan,0.0,35136,31622400
19,-182313.37619511838,-5.188791444533196,77700664.18300743,2211.4260070300384,-247932.08471451286,-7.05635487006241,-15540.132836601486,-0.4422852014060077,13.331056466302368,nan,nan,0.0,35136,31622400
20,-188261.76031709585,-5.358087440718802,87794397.29308112,2498.7021087511703,-254242.35344884597,-7.235950405534095,-17558.879458616226,-0.4997404217502341,13.473360655737704,nan,nan,0.0,35136,31622400
21,-189739.15242537257,-5.400135258008099,91513476.81564522,2604.550228131979,-255394.39185232227,-7.26873838377511,-18302.69536312904,-0.5209100456263958,13.242827868852459,nan,nan,0.0,35136,31622400
22,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
23,-181328.74383963746,-5.160767982685493,86710243.96809548,2467.846196724029,-244048.42118093677,-6.945822551825386,-17342.0487936191,-0.49356923934480584,12.949681238615666,nan,nan,0.0,35136,31622400
24,-181328.74383963746,-5.160767982685493,86710243.96809548,2467.846196724029,-244048.42118093677,-6.945822551825386,-17342.0487936191,-0.49356923934480584,12.949681238615666,nan,nan,0.0,35136,31622400
25,-5056.991918259432,-5.6439641944859735,2212177.546691992,2468.9481547901696,-6759.573258859632,-7.544166583548696,-442.43550933839845,-0.49378963095803396,17.1875,nan,nan,0.0,896,806400
26,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
